Pop2023,Pop2022,City,Country,Continent,growthRate,rank,Year
2149928,2114675,Mecca,Saudi Arabia,Asia,0.0167,239,2023
2148930,2145691,Havana,Cuba,North America,0.0015,240,2023
2131291,2085864,Yangzhou,China,Asia,0.0218,241,2023
2124797,2046187,Wuhu Anhui,China,Asia,0.0384,242,2023
2121992,2109631,Brussels,Belgium,Europe,0.0059,243,2023
2117997,2092649,Perth,Australia,Oceania,0.0121,244,2023
2110937,2048525,Conakry,Guinea,Africa,0.0305,245,2023
2107539,2064081,Baoding,China,Asia,0.0211,246,2023
2106606,2025984,Kollam,India,Asia,0.0398,247,2023
2102143,2048701,Taizhou Zhejiang,China,Asia,0.0261,248,2023
2086324,2054748,Bursa,Turkey,Asia,0.0154,249,2023
2076364,2030847,Linyi Shandong,China,Asia,0.0224,250,2023
2067591,2072344,Hiroshima,Japan,Asia,-0.0023,251,2023
2057257,2048574,Minsk,Belarus,Europe,0.0042,252,2023
2043107,1988607,Rajkot,India,Asia,0.0274,253,2023
2016092,1974244,Haikou,China,Asia,0.0212,254,2023
2000656,1954752,Daqing,China,Asia,0.0235,255,2023
1993463,1951122,Yancheng Jiangsu,China,Asia,0.0217,256,2023
1987301,1958135,Almaty,Kazakhstan,Asia,0.0149,257,2023
1986439,1933605,Lianyungang,China,Asia,0.0273,258,2023
1983445,1959318,Valencia,Venezuela,South America,0.0123,259,2023
1981615,1925517,Lome,Togo,Africa,0.0291,260,2023
1976866,1937963,Panama City,Panama,North America,0.0201,261,2023
1975306,1937887,Semarang,Indonesia,Asia,0.0193,262,2023
1975271,1960023,Vienna,Austria,Europe,0.0078,263,2023
1967684,1925953,Hyderabad,Pakistan,Asia,0.0217,264,2023
1959388,1931930,Rabat,Morocco,Africa,0.0142,265,2023
1956995,1928296,Quito,Ecuador,South America,0.0149,266,2023
1951085,1916772,Ludhiana,India,Asia,0.0179,267,2023
1949400,1907721,Davao City,Philippines,Asia,0.0218,268,2023
1947785,1929846,Baixada Santista,Brazil,South America,0.0093,269,2023
1935619,1907686,La Paz,Bolivia,South America,0.0146,270,2023
1928661,1915134,West Yorkshire,United Kingdom,Europe,0.0071,271,2023
1904631,1841084,Benin City,Nigeria,Africa,0.0345,272,2023
1898749,1873522,Leon de los Aldamas,Mexico,North America,0.0135,273,2023
1889829,1847411,Zhuhai,China,Asia,0.023,274,2023
1873693,1831912,Datong,China,Asia,0.0228,275,2023
1869994,1814734,Quanzhou,China,Asia,0.0305,276,2023
1865172,1786437,Can Tho,Vietnam,Asia,0.0441,277,2023
1852405,1796872,Matola,Mozambique,Africa,0.0309,278,2023
1835895,1814445,Adana,Turkey,Asia,0.0118,279,2023
1834279,1798834,Madurai,India,Asia,0.0197,280,2023
1830858,1785684,Sharjah,United Arab Emirates,Asia,0.0253,281,2023
1820114,1784372,Santa Cruz,Bolivia,South America,0.02,282,2023
